Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Direct_rad_transmittance Dir_norml_PAR_photn_flux Extraterrestrial_spectrm
.7610E+03 .3087E+00 .3827E-02 .2478E+00 .1963E+01 .1245E+01
.7620E+03 .8117E+00 .2274E-01 .6695E+00 .5170E+01 .1212E+01
.7630E+03 .5621E+00 .1126E-01 .4499E+00 .3585E+01 .1249E+01
.7640E+03 .7088E+00 .1710E-01 .5667E+00 .4527E+01 .1251E+01
.7650E+03 .8357E+00 .2301E-01 .6688E+00 .5344E+01 .1250E+01
.7660E+03 .9046E+00 .2779E-01 .7674E+00 .5792E+01 .1179E+01
.7670E+03 .1019E+01 .3415E-01 .8574E+00 .6533E+01 .1188E+01
.7680E+03 .1138E+01 .4049E-01 .9266E+00 .7306E+01 .1228E+01
.7690E+03 .1150E+01 .4128E-01 .9426E+00 .7392E+01 .1220E+01
.7700E+03 .1162E+01 .4215E-01 .9604E+00 .7481E+01 .1210E+01
.7710E+03 .1172E+01 .4257E-01 .9684E+00 .7554E+01 .1210E+01
.7720E+03 .1169E+01 .4234E-01 .9709E+00 .7546E+01 .1204E+01
.7730E+03 .1166E+01 .4202E-01 .9717E+00 .7535E+01 .1200E+01
.7740E+03 .1182E+01 .4239E-01 .9723E+00 .7647E+01 .1216E+01
.7750E+03 .1132E+01 .4040E-01 .9728E+00 .7334E+01 .1164E+01
.7760E+03 .1182E+01 .4197E-01 .9731E+00 .7666E+01 .1215E+01
.7770E+03 .1175E+01 .4151E-01 .9732E+00 .7631E+01 .1207E+01
.7780E+03 .1167E+01 .4102E-01 .9732E+00 .7593E+01 .1200E+01
.7790E+03 .1181E+01 .4127E-01 .9733E+00 .7688E+01 .1213E+01
.7800E+03 .1167E+01 .4059E-01 .9736E+00 .7611E+01 .1199E+01
.7810E+03 .1167E+01 .4038E-01 .9737E+00 .7621E+01 .1199E+01
.7820E+03 .1182E+01 .4069E-01 .9740E+00 .7730E+01 .1214E+01
.7830E+03 .1163E+01 .3982E-01 .9742E+00 .7613E+01 .1194E+01
.7840E+03 .1162E+01 .3957E-01 .9746E+00 .7614E+01 .1192E+01
.7850E+03 .1164E+01 .3939E-01 .9739E+00 .7636E+01 .1195E+01
.7860E+03 .1166E+01 .3923E-01 .9734E+00 .7659E+01 .1197E+01
.7870E+03 .1150E+01 .3829E-01 .9667E+00 .7565E+01 .1189E+01
.7880E+03 .1133E+01 .3742E-01 .9627E+00 .7465E+01 .1177E+01
.7890E+03 .1133E+01 .3708E-01 .9584E+00 .7470E+01 .1182E+01
.7900E+03 .1097E+01 .3532E-01 .9440E+00 .7245E+01 .1162E+01
.7910E+03 .1118E+01 .3616E-01 .9565E+00 .7390E+01 .1168E+01
.7920E+03 .1100E+01 .3546E-01 .9576E+00 .7285E+01 .1149E+01
.7930E+03 .1084E+01 .3471E-01 .9559E+00 .7187E+01 .1134E+01
.7940E+03 .1112E+01 .3586E-01 .9733E+00 .7380E+01 .1142E+01
.7950E+03 .1098E+01 .3512E-01 .9697E+00 .7296E+01 .1132E+01
.7960E+03 .1090E+01 .3416E-01 .9499E+00 .7250E+01 .1147E+01
.7970E+03 .1094E+01 .3416E-01 .9518E+00 .7287E+01 .1149E+01
.7980E+03 .1125E+01 .3538E-01 .9684E+00 .7502E+01 .1161E+01
.7990E+03 .1114E+01 .3474E-01 .9639E+00 .7439E+01 .1156E+01
.8000E+03 .1082E+01 .3346E-01 .9589E+00 .7239E+01 .1129E+01
