Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Direct_rad_transmittance Dir_norml_PAR_photn_flux Extraterrestrial_spectrm
.5660E+03 .1557E+01 .2034E+00 .8730E+00 .7366E+01 .1783E+01
.5670E+03 .1645E+01 .2131E+00 .8723E+00 .7797E+01 .1886E+01
.5680E+03 .1629E+01 .2089E+00 .8699E+00 .7736E+01 .1873E+01
.5690E+03 .1591E+01 .2014E+00 .8644E+00 .7568E+01 .1841E+01
.5700E+03 .1604E+01 .2018E+00 .8657E+00 .7645E+01 .1853E+01
.5710E+03 .1529E+01 .1913E+00 .8678E+00 .7300E+01 .1762E+01
.5720E+03 .1627E+01 .2013E+00 .8644E+00 .7782E+01 .1883E+01
.5730E+03 .1637E+01 .2008E+00 .8641E+00 .7840E+01 .1894E+01
.5740E+03 .1637E+01 .1992E+00 .8636E+00 .7857E+01 .1896E+01
.5750E+03 .1603E+01 .1933E+00 .8625E+00 .7704E+01 .1858E+01
.5760E+03 .1571E+01 .1880E+00 .8628E+00 .7565E+01 .1821E+01
.5770E+03 .1630E+01 .1936E+00 .8634E+00 .7864E+01 .1889E+01
.5780E+03 .1588E+01 .1873E+00 .8651E+00 .7671E+01 .1835E+01
.5790E+03 .1576E+01 .1849E+00 .8679E+00 .7627E+01 .1816E+01
.5800E+03 .1624E+01 .1899E+00 .8718E+00 .7876E+01 .1863E+01
.5810E+03 .1612E+01 .1874E+00 .8748E+00 .7829E+01 .1843E+01
.5820E+03 .1634E+01 .1890E+00 .8776E+00 .7950E+01 .1862E+01
.5830E+03 .1656E+01 .1905E+00 .8801E+00 .8073E+01 .1882E+01
.5840E+03 .1655E+01 .1891E+00 .8817E+00 .8078E+01 .1877E+01
.5850E+03 .1643E+01 .1865E+00 .8827E+00 .8035E+01 .1862E+01
.5860E+03 .1571E+01 .1770E+00 .8826E+00 .7697E+01 .1780E+01
.5870E+03 .1627E+01 .1815E+00 .8805E+00 .7986E+01 .1848E+01
.5880E+03 .1619E+01 .1778E+00 .8727E+00 .7956E+01 .1855E+01
.5890E+03 .1417E+01 .1517E+00 .8539E+00 .6975E+01 .1659E+01
.5900E+03 .1456E+01 .1550E+00 .8555E+00 .7181E+01 .1702E+01
.5910E+03 .1574E+01 .1679E+00 .8658E+00 .7775E+01 .1818E+01
.5920E+03 .1541E+01 .1624E+00 .8602E+00 .7626E+01 .1791E+01
.5930E+03 .1562E+01 .1647E+00 .8669E+00 .7744E+01 .1802E+01
.5940E+03 .1564E+01 .1635E+00 .8652E+00 .7766E+01 .1808E+01
.5950E+03 .1535E+01 .1588E+00 .8618E+00 .7637E+01 .1782E+01
.5960E+03 .1584E+01 .1644E+00 .8731E+00 .7890E+01 .1814E+01
.5970E+03 .1586E+01 .1634E+00 .8721E+00 .7917E+01 .1819E+01
.5980E+03 .1561E+01 .1602E+00 .8757E+00 .7804E+01 .1783E+01
.5990E+03 .1538E+01 .1571E+00 .8784E+00 .7699E+01 .1750E+01
.6000E+03 .1554E+01 .1582E+00 .8823E+00 .7793E+01 .1761E+01
.6010E+03 .1544E+01 .1565E+00 .8846E+00 .7758E+01 .1746E+01
.6020E+03 .1520E+01 .1529E+00 .8850E+00 .7647E+01 .1717E+01
.6030E+03 .1552E+01 .1551E+00 .8856E+00 .7825E+01 .1753E+01
.6040E+03 .1572E+01 .1559E+00 .8859E+00 .7937E+01 .1774E+01
.6050E+03 .1579E+01 .1556E+00 .8868E+00 .7985E+01 .1780E+01
.6060E+03 .1560E+01 .1529E+00 .8889E+00 .7905E+01 .1756E+01
.6070E+03 .1568E+01 .1527E+00 .8910E+00 .7954E+01 .1759E+01
.6080E+03 .1558E+01 .1508E+00 .8927E+00 .7916E+01 .1745E+01
.6090E+03 .1553E+01 .1493E+00 .8939E+00 .7907E+01 .1737E+01
.6100E+03 .1535E+01 .1465E+00 .8948E+00 .7826E+01 .1715E+01
.6110E+03 .1576E+01 .1494E+00 .8958E+00 .8049E+01 .1759E+01
.6120E+03 .1555E+01 .1463E+00 .8964E+00 .7954E+01 .1735E+01
.6130E+03 .1574E+01 .1471E+00 .8968E+00 .8068E+01 .1756E+01
.6140E+03 .1511E+01 .1402E+00 .8979E+00 .7757E+01 .1683E+01
.6150E+03 .1574E+01 .1451E+00 .8991E+00 .8092E+01 .1751E+01
.6160E+03 .1504E+01 .1377E+00 .9001E+00 .7742E+01 .1670E+01
.6170E+03 .1515E+01 .1378E+00 .9008E+00 .7816E+01 .1682E+01
.6180E+03 .1567E+01 .1414E+00 .9011E+00 .8093E+01 .1738E+01
.6190E+03 .1547E+01 .1386E+00 .9014E+00 .8003E+01 .1716E+01
.6200E+03 .1574E+01 .1399E+00 .9009E+00 .8156E+01 .1747E+01
.6210E+03 .1576E+01 .1388E+00 .8990E+00 .8180E+01 .1753E+01
.6220E+03 .1512E+01 .1315E+00 .8931E+00 .7862E+01 .1693E+01
